site,dec_tag,detected,reader,antenna
Blackwater,989.001039944233,13/04/2023,1,3
Blackwater,989.001039944657,13/04/2023,1,3
Blackwater,989.001039944547,13/04/2023,1,3
Blackwater,989.001039944532,13/04/2023,1,3
Blackwater,989.001039944549,13/04/2023,1,3
Blackwater,989.001039944620,13/04/2023,1,1
Blackwater,989.001039945111,13/04/2023,1,1
Blackwater,989.001039944554,13/04/2023,1,3
Blackwater,989.001039945176,13/04/2023,1,1
Blackwater,989.001039944254,13/04/2023,1,1
Blackwater,989.001039943566,13/04/2023,1,1
Blackwater,989.001039943818,13/04/2023,1,2
Blackwater,989.001039944248,13/04/2023,1,1
Blackwater,989.001039945282,28/03/2023,1,1
Blackwater,989.001039944522,28/03/2023,1,1
Blackwater,989.001039942177,25/03/2023,1,1
Blackwater,989.001039941148,25/03/2023,1,1
Blackwater,989.001039940999,25/03/2023,1,1
Blackwater,989.001039943532,25/03/2023,1,1
Blackwater,989.001039943812,25/03/2023,1,1
Blackwater,989.001039943629,25/03/2023,1,3
Blackwater,989.001039943615,25/03/2023,1,2
Blackwater,989.001039944318,25/03/2023,1,1
Blackwater,989.001039944356,25/03/2023,1,3
Blackwater,989.001039941035,25/03/2023,1,3
Blackwater,989.001039945200,25/03/2023,1,1
Blackwater,989.001039944335,25/03/2023,1,2
Blackwater,989.001039944647,25/03/2023,1,3
Blackwater,989.001039945177,25/03/2023,1,3
Blackwater,989.001039944703,25/03/2023,1,3
Blackwater,989.001039941009,25/03/2023,1,3
Blackwater,989.001039943922,25/03/2023,1,2
Blackwater,989.001039943859,25/03/2023,1,3
Blackwater,989.001039941039,24/03/2023,1,2
Blackwater,989.001039944052,24/03/2023,1,1
Blackwater,989.001039944305,24/03/2023,1,2
Blackwater,989.001039945362,24/03/2023,1,1
Blackwater,989.001039942245,24/03/2023,1,2
Blackwater,989.001039941110,24/03/2023,1,1
Blackwater,989.001039941005,24/03/2023,1,2
Blackwater,989.001039945139,24/03/2023,1,1
Blackwater,989.001039943585,24/03/2023,1,2
Blackwater,989.001039943585,24/03/2023,1,3
Blackwater,989.001039944708,22/03/2023,1,2
Blackwater,989.001039943660,21/03/2023,1,1
Blackwater,989.001039944308,21/03/2023,1,1
Blackwater,989.001039944117,21/03/2023,1,1
Blackwater,989.001039944652,21/03/2023,1,1
Blackwater,989.001039945234,21/03/2023,1,1
Blackwater,989.001039943535,21/03/2023,1,1
Blackwater,989.001039944676,20/03/2023,1,2
Blackwater,989.001039943772,16/03/2023,1,3
Blackwater,989.001039943428,16/03/2023,1,2
Blackwater,989.001039943386,16/03/2023,1,2
Blackwater,989.001039944177,16/03/2023,1,3
Blackwater,989.001039943433,16/03/2023,1,2
Blackwater,989.001039944709,16/03/2023,1,1
Blackwater,989.001039943789,16/03/2023,1,1
Blackwater,989.001039943622,16/03/2023,1,1
Blackwater,989.001039945148,16/03/2023,1,1
Blackwater,989.001039944816,16/03/2023,1,1
Blackwater,989.001039944261,15/03/2023,1,3
Blackwater,989.001039944261,15/03/2023,1,2
Blackwater,989.001039944302,15/03/2023,1,2
Upper Avochie,989.001039940971,30/04/2023,1,3
Upper Avochie,989.001039943653,29/04/2023,1,4
Lower Avochie,989.001039944337,29/04/2023,1,8
Upper Avochie,989.001039943492,29/04/2023,1,5
Upper Avochie,989.001039944940,29/04/2023,1,4
Lower Avochie,989.001039944254,29/04/2023,1,6
Upper Avochie,989.001039944694,29/04/2023,1,4
Upper Avochie,989.001039944778,29/04/2023,1,4
Lower Avochie,989.001039943859,28/04/2023,1,6
Upper Avochie,989.001039945111,28/04/2023,1,4
Lower Avochie,989.001039943781,28/04/2023,1,8
Lower Avochie,989.001039944953,28/04/2023,1,8
Upper Avochie,989.001039945116,28/04/2023,1,4
Upper Avochie,989.001039944568,28/04/2023,1,4
Upper Avochie,989.001039943768,28/04/2023,1,3
Upper Avochie,989.001039945160,28/04/2023,1,4
Lower Avochie,989.001039943757,28/04/2023,1,6
Upper Avochie,989.001039943469,28/04/2023,1,3
Upper Avochie,989.001039944284,28/04/2023,1,1
Lower Avochie,989.001039943630,28/04/2023,1,8
Upper Avochie,989.001039943630,28/04/2023,1,3
Upper Avochie,989.001039943733,28/04/2023,1,2
Upper Avochie,989.001039944101,28/04/2023,1,2
Upper Avochie,989.001039943847,28/04/2023,1,4
Lower Avochie,989.001039944642,28/04/2023,1,6
Upper Avochie,989.001039944642,28/04/2023,1,1
Upper Avochie,989.001039944307,27/04/2023,1,3
