site,dec_tag,detected,reader,antenna
XAD,989.001039943701,07/05/2023 04:07,1,4
XAD,989.001039943701,07/05/2023 04:06,1,4
XAD,989.001039943701,07/05/2023 04:05,1,4
XAD,989.001039943701,07/05/2023 04:04,1,4
XAD,989.001039943701,07/05/2023 04:03,1,4
XAD,989.001039943701,07/05/2023 04:02,1,4
XAD,989.001039943701,07/05/2023 04:01,1,4
XAD,989.001039943701,07/05/2023 04:00,1,4
XAD,989.001039943701,07/05/2023 03:59,1,4
XAD,989.001039943701,07/05/2023 03:58,1,4
XAD,989.001039943701,07/05/2023 03:57,1,4
XAD,989.001039943701,07/05/2023 03:56,1,4
XAD,989.001039943701,07/05/2023 03:55,1,4
XAD,989.001039943701,07/05/2023 03:54,1,4
XAD,989.001039943701,07/05/2023 03:53,1,4
XAD,989.001039943701,07/05/2023 03:52,1,4
XAD,989.001039943701,07/05/2023 03:51,1,4
XAD,989.001039943701,07/05/2023 03:50,1,4
XAD,989.001039943701,07/05/2023 03:49,1,4
XAD,989.001039943701,07/05/2023 03:48,1,4
XAD,989.001039943701,07/05/2023 03:47,1,5
XAD,989.001039943701,07/05/2023 03:46,1,5
XAD,989.001039941128,06/05/2023 23:14,1,8
XAD,989.001039943701,06/05/2023 17:21,1,5
XAD,989.001039943701,06/05/2023 07:55,1,8
XAD,989.001039943701,06/05/2023 07:54,1,8
XAD,989.001039943701,06/05/2023 07:53,1,8
XAD,989.001039940971,04/05/2023 13:34,1,2
XAD,989.001039940971,04/05/2023 13:33,1,2
XAD,989.001039940971,04/05/2023 13:32,1,2
XAD,989.001039940971,04/05/2023 13:31,1,2
XAD,989.001039940971,04/05/2023 13:30,1,2
XAD,989.001039940971,04/05/2023 13:29,1,2
XAD,989.001039940971,04/05/2023 13:28,1,2
XAD,989.001039940971,04/05/2023 13:27,1,2
XAD,989.001039940971,04/05/2023 13:26,1,2
XAD,989.001039940971,04/05/2023 13:25,1,2
XAD,989.001039940971,04/05/2023 13:24,1,2
XAD,989.001039940971,04/05/2023 13:23,1,2
XAD,989.001039940971,04/05/2023 13:22,1,2
XAD,989.001039940971,04/05/2023 13:21,1,2
